model,dataset,layer,score
dinosr,dev-clean,1,7.74
dinosr,dev-other,1,4.5
dinosr,dev-clean,2,16.49
dinosr,dev-other,2,8.64
dinosr,dev-clean,3,28.46
dinosr,dev-other,3,15.35
dinosr,dev-clean,4,42.61
dinosr,dev-other,4,25.19
dinosr,dev-clean,5,63.02
dinosr,dev-other,5,45.86
dinosr,dev-clean,6,70.7
dinosr,dev-other,6,56.96
dinosr,dev-clean,7,67.69
dinosr,dev-other,7,55.59
dinosr,dev-clean,8,62.88
dinosr,dev-other,8,53.45
dinosr,dev-clean,9,65.58
dinosr,dev-other,9,57.39
dinosr,dev-clean,10,71.48
dinosr,dev-other,10,62.7
dinosr,dev-clean,11,74.87
dinosr,dev-other,11,64.12
dinosr,dev-clean,12,47.9
dinosr,dev-other,12,33.72
dinosr_codebooks,dev-clean,5,65.94
dinosr_codebooks,dev-other,5,51.23
dinosr_codebooks,dev-clean,6,64.1
dinosr_codebooks,dev-other,6,53.02
dinosr_codebooks,dev-clean,7,52.33
dinosr_codebooks,dev-other,7,42.97
dinosr_codebooks,dev-clean,8,42.57
dinosr_codebooks,dev-other,8,36.04
dinosr_codebooks,dev-clean,9,49.57
dinosr_codebooks,dev-other,9,43.17
dinosr_codebooks,dev-clean,10,62.6
dinosr_codebooks,dev-other,10,54.79
dinosr_codebooks,dev-clean,11,65.34
dinosr_codebooks,dev-other,11,56.36
dinosr_codebooks,dev-clean,12,50.53
dinosr_codebooks,dev-other,12,36.79
dinosr_ours,dev-clean,1,6.11
dinosr_ours,dev-other,1,3.99
dinosr_ours,dev-clean,2,12.92
dinosr_ours,dev-other,2,6.96
dinosr_ours,dev-clean,3,18.23
dinosr_ours,dev-other,3,9.62
dinosr_ours,dev-clean,4,36.49
dinosr_ours,dev-other,4,20.8
dinosr_ours,dev-clean,5,51.35
dinosr_ours,dev-other,5,33.74
dinosr_ours,dev-clean,6,66.17
dinosr_ours,dev-other,6,49.43
dinosr_ours,dev-clean,7,72.74
dinosr_ours,dev-other,7,61.21
dinosr_ours,dev-clean,8,65.73
dinosr_ours,dev-other,8,57.18
dinosr_ours,dev-clean,9,63.06
dinosr_ours,dev-other,9,54.84
dinosr_ours,dev-clean,10,72.92
dinosr_ours,dev-other,10,63.86
dinosr_ours,dev-clean,11,74.07
dinosr_ours,dev-other,11,63.32
dinosr_ours,dev-clean,12,49.11
dinosr_ours,dev-other,12,35.93
dinosr_ours_codebooks,dev-clean,5,59.76
dinosr_ours_codebooks,dev-other,5,42.68
dinosr_ours_codebooks,dev-clean,6,69.04
dinosr_ours_codebooks,dev-other,6,55.21
dinosr_ours_codebooks,dev-clean,7,59.99
dinosr_ours_codebooks,dev-other,7,50.52
dinosr_ours_codebooks,dev-clean,8,38.8
dinosr_ours_codebooks,dev-other,8,33.24
dinosr_ours_codebooks,dev-clean,9,42.82
dinosr_ours_codebooks,dev-other,9,37.2
dinosr_ours_codebooks,dev-clean,10,62.99
dinosr_ours_codebooks,dev-other,10,54.97
dinosr_ours_codebooks,dev-clean,11,66.38
dinosr_ours_codebooks,dev-other,11,57.0
dinosr_ours_codebooks,dev-clean,12,56.87
dinosr_ours_codebooks,dev-other,12,43.39
hubert,dev-clean,1,7.25
hubert,dev-other,1,4.71
hubert,dev-clean,2,9.0
hubert,dev-other,2,5.52
hubert,dev-clean,3,10.92
hubert,dev-other,3,6.61
hubert,dev-clean,4,12.64
hubert,dev-other,4,7.61
hubert,dev-clean,5,19.92
hubert,dev-other,5,12.13
hubert,dev-clean,6,30.36
hubert,dev-other,6,19.22
hubert,dev-clean,7,43.67
hubert,dev-other,7,31.31
hubert,dev-clean,8,55.33
hubert,dev-other,8,42.95
hubert,dev-clean,9,58.03
hubert,dev-other,9,46.77
hubert,dev-clean,10,58.89
hubert,dev-other,10,47.24
hubert,dev-clean,11,46.07
hubert,dev-other,11,33.37
hubert,dev-clean,12,36.01
hubert,dev-other,12,26.23
spidr,dev-clean,1,14.64
spidr,dev-other,1,7.5
spidr,dev-clean,2,39.46
spidr,dev-other,2,22.07
spidr,dev-clean,3,70.14
spidr,dev-other,3,54.72
spidr,dev-clean,4,66.24
spidr,dev-other,4,52.76
spidr,dev-clean,5,69.52
spidr,dev-other,5,57.32
spidr,dev-clean,6,66.5
spidr,dev-other,6,55.26
spidr,dev-clean,7,55.93
spidr,dev-other,7,45.34
spidr,dev-clean,8,33.56
spidr,dev-other,8,24.59
spidr,dev-clean,9,25.56
spidr,dev-other,9,17.77
spidr,dev-clean,10,23.09
spidr,dev-other,10,15.65
spidr,dev-clean,11,19.66
spidr,dev-other,11,12.77
spidr,dev-clean,12,15.08
spidr,dev-other,12,9.69
spidr_codebooks,dev-clean,5,72.58
spidr_codebooks,dev-other,5,60.15
spidr_codebooks,dev-clean,6,63.5
spidr_codebooks,dev-other,6,52.44
spidr_codebooks,dev-clean,7,52.16
spidr_codebooks,dev-other,7,42.22
spidr_codebooks,dev-clean,8,27.8
spidr_codebooks,dev-other,8,19.96
spidr_codebooks,dev-clean,9,19.07
spidr_codebooks,dev-other,9,12.97
spidr_codebooks,dev-clean,10,17.67
spidr_codebooks,dev-other,10,11.73
spidr_codebooks,dev-clean,11,14.55
spidr_codebooks,dev-other,11,9.3
spidr_codebooks,dev-clean,12,13.08
spidr_codebooks,dev-other,12,8.22
spidr_onehot,dev-clean,5,69.18
spidr_onehot,dev-other,5,56.54
spidr_onehot,dev-clean,6,59.48
spidr_onehot,dev-other,6,48.41
spidr_onehot,dev-clean,7,47.84
spidr_onehot,dev-other,7,37.94
spidr_onehot,dev-clean,8,24.19
spidr_onehot,dev-other,8,16.88
spidr_onehot,dev-clean,9,16.21
spidr_onehot,dev-other,9,10.7
spidr_onehot,dev-clean,10,14.96
spidr_onehot,dev-other,10,9.63
spidr_onehot,dev-clean,11,12.14
spidr_onehot,dev-other,11,7.51
spidr_onehot,dev-clean,12,10.76
spidr_onehot,dev-other,12,6.58
